Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	tree_length
0	-830.115	-1171.749	341.6344	1.524368	1.600349	0.3965632	2.982214
6	-839.0371	-1180.416	341.3788	1.786776	1.590608	0.3965632	2.982214
12	-833.1626	-1174.128	340.9658	1.803695	1.837024	0.3771086	3.144246
18	-824.3151	-1165.701	341.3859	1.639986	1.643891	0.3581915	3.089829
24	-838.818	-1180.407	341.5886	1.518987	1.354424	0.530717	2.981935
30	-865.0197	-1205.237	340.2171	1.629018	1.974509	0.4509474	3.55597
36	-853.2021	-1194.728	341.526	1.544277	3.047253	0.3401965	2.636528
42	-856.7313	-1197.325	340.5937	1.912334	2.232959	0.2433712	3.345834
48	-856.8731	-1198.258	341.3847	2.005121	2.922758	0.2987907	2.528851
54	-858.1516	-1197.035	338.8833	1.427593	2.922758	0.2987907	4.338153
60	-857.2527	-1197.831	340.5781	1.701283	2.606457	0.2987907	3.286944
66	-836.0394	-1176.434	340.3948	1.879123	2.606457	0.3011543	3.286944
72	-837.2814	-1180.463	343.1812	2.180984	1.687211	0.2872227	1.681942
78	-852.7273	-1195.662	342.9343	2.193398	1.868168	0.2872227	1.765062
84	-856.8156	-1199.835	343.0198	2.111204	1.868168	0.2892435	1.759359
90	-849.4303	-1192.551	343.1211	2.202109	1.868168	0.2075664	1.775348
96	-849.6933	-1192.957	343.2635	2.202109	1.868168	0.2490383	1.592475
102	-844.6097	-1188.024	343.4147	2.15335	2.066443	0.3205069	1.291078
108	-860.1754	-1203.352	343.1763	2.138648	2.066443	0.3707255	1.407408
114	-850.3454	-1192.652	342.3065	2.062903	2.953563	0.6107456	1.484644
120	-851.0511	-1192.68	341.629	2.000869	2.383313	0.8927649	1.948305
126	-851.771	-1194.724	342.9529	1.905466	2.383313	0.2829484	1.75849
132	-846.177	-1188.453	342.276	2.079682	2.383313	0.3325297	2.023042
138	-846.8828	-1188.309	341.4265	2.14845	2.383313	0.3325297	2.524033
144	-835.84	-1175.577	339.7372	1.566194	2.383313	0.8659029	3.405504
150	-838.903	-1180.498	341.5949	1.566194	1.591761	0.8133628	2.608799
156	-851.7606	-1193.696	341.9356	1.82441	1.691103	0.4509752	2.514902
162	-841.4175	-1183.099	341.6819	1.786153	1.973706	0.7550598	2.305576
168	-846.9076	-1187.003	340.0951	1.859666	2.314036	0.4575499	3.375328
174	-852.9425	-1192.156	339.2137	1.177179	2.461679	1.245624	3.699982
180	-852.7103	-1194.238	341.5278	1.369144	2.492978	1.245624	2.17307
186	-850.6982	-1191.114	340.4163	1.199629	1.837461	1.021943	3.307062
192	-859.4	-1200.077	340.6773	1.316321	1.628538	1.069523	3.137555
198	-850.2152	-1193.046	342.8312	1.553875	1.740637	0.8268051	1.734598
204	-842.5587	-1185.366	342.8077	1.8693	1.707906	0.5899309	1.760422
210	-849.2935	-1192.434	343.1407	1.830296	1.555601	0.5899309	1.626182
216	-852.3957	-1194.054	341.6582	1.699059	1.555601	1.206399	2.253758
222	-851.8393	-1193.875	342.0361	1.415729	1.844593	0.9079094	2.253758
228	-839.045	-1179.606	340.5612	1.173879	1.526614	0.9079094	3.428797
234	-818.96	-1161.087	342.1269	1.738999	2.236922	0.7051533	1.990431
240	-837.997	-1179.036	341.0392	1.822981	2.070317	0.4913279	2.879826
246	-842.7023	-1183.917	341.2144	1.606175	1.939375	0.5656362	2.879826
252	-829.6079	-1169.736	340.1283	1.476249	1.779899	0.8403058	3.447867
258	-823.2784	-1163.79	340.5115	1.832832	1.779899	0.5080167	3.277463
264	-822.0338	-1163.502	341.4678	1.843017	2.127262	0.5080167	2.568383
270	-826.9884	-1167.534	340.5451	1.893642	2.070256	0.3472416	3.293879
276	-840.3138	-1180.738	340.4245	1.893642	2.290287	0.3472416	3.293879
282	-835.556	-1176.322	340.7663	1.732639	2.48629	0.3780313	3.089814
288	-857.9657	-1200.202	342.236	1.85892	1.921973	0.3780313	2.297566
294	-863.5356	-1204.714	341.1789	1.697075	1.92677	0.8026656	2.658126
300	-847.4024	-1188.632	341.2298	1.241535	1.711247	0.8026656	2.986913
306	-860.5634	-1199.572	339.0084	1.37512	1.345055	0.8026656	4.351934
312	-834.1536	-1175.175	341.0211	1.529064	2.331292	1.55704	2.293562
318	-845.0585	-1186.222	341.1633	1.529064	2.331292	1.55704	2.202105
324	-837.5749	-1178.96	341.3848	1.374775	2.331292	1.295983	2.287313
330	-836.9113	-1178.441	341.5294	1.374775	1.690243	1.718845	2.236867
336	-837.1646	-1178.134	340.9693	1.506358	2.169429	1.933865	2.238662
342	-843.8526	-1184.787	340.9346	1.399411	2.064075	1.933865	2.366884
348	-821.1652	-1162.128	340.9629	1.337385	1.315537	1.665397	2.808237
354	-837.2113	-1177.712	340.5005	1.337385	1.425274	1.665397	3.03506
360	-846.3494	-1186.049	339.6996	1.018534	1.860744	1.172257	3.740072
366	-835.8575	-1176.589	340.7318	1.334843	1.471074	1.134397	3.125322
372	-838.2903	-1178.162	339.8714	1.240201	1.797604	1.581471	3.346317
378	-844.6156	-1184.76	340.1443	1.509611	1.797604	1.449401	3.08215
384	-838.5479	-1180.234	341.6863	1.32047	1.797604	1.175716	2.390234
390	-830.4802	-1172.933	342.4525	1.730961	1.797604	1.175716	1.601709
396	-837.1523	-1179.149	341.9963	1.678156	2.424893	1.175716	1.712441
402	-832.9676	-1174.676	341.7084	1.344148	1.941631	1.175716	2.304538
408	-832.8905	-1173.924	341.0337	1.539558	2.111691	1.110557	2.580897
414	-836.0331	-1177.082	341.0486	1.728002	1.691137	0.5473065	3.017898
420	-846.188	-1187.337	341.1486	1.45309	2.120301	0.4930349	3.017898
426	-842.649	-1182.417	339.7677	1.270598	2.150646	1.001917	3.548909
432	-847.5496	-1188.968	341.418	1.356726	2.150646	0.7776813	2.659098
438	-837.2294	-1177.677	340.4473	1.356726	2.150646	1.331067	2.921629
